t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
30,0.9855453351,3.656565657,1.962718544,0.09103343527,0.7210245289,0.7865337165,0.00507191957,0.09336158731,0.9970407328,0.269608917
30,0.9855453351,3.704545455,1.962716895,0.09103318796,0.7210246628,0.7865338326,0.005071925751,0.09336158667,0.9970407328,0.2696172343
30,0.9855453351,3.752525253,1.962715329,0.09103293788,0.7210247943,0.7865339465,0.005071931859,0.09336158605,0.9970407327,0.26962566
30,0.9855453351,3.800505051,1.962713842,0.09103268518,0.7210249232,0.7865340578,0.005071937885,0.09336158546,0.9970407326,0.2696341945
30,0.9855453351,3.848484848,1.962712433,0.09103242998,0.7210250493,0.7865341665,0.005071943818,0.09336158489,0.9970407325,0.2696428375
30,0.9855453351,3.896464646,1.962711098,0.09103217233,0.7210251725,0.7865342724,0.005071949649,0.09336158434,0.9970407325,0.2696515891
30,0.9855453351,3.944444444,1.962709836,0.09103191222,0.7210252926,0.7865343753,0.005071955367,0.09336158381,0.9970407324,0.2696604495
30,0.9855453351,3.992424242,1.962708645,0.09103164959,0.7210254094,0.7865344751,0.005071960962,0.09336158331,0.9970407323,0.2696694191
30,0.9855453351,4.04040404,1.962707523,0.09103138434,0.7210255228,0.7865345716,0.005071966422,0.09336158283,0.9970407323,0.2696784977
30,0.9855453351,4.088383838,1.962706468,0.09103111636,0.7210256325,0.7865346647,0.005071971737,0.09336158237,0.9970407322,0.2696876844
30,0.9855453351,4.136363636,1.962705478,0.09103084563,0.7210257384,0.7865347542,0.005071976896,0.09336158193,0.9970407322,0.2696969799
30,0.9855453351,4.184343434,1.962704551,0.0910305722,0.7210258403,0.7865348399,0.005071981889,0.09336158151,0.9970407321,0.2697063867
30,0.9855453351,4.232323232,1.962703686,0.09103029624,0.721025938,0.7865349217,0.005071986701,0.09336158112,0.9970407321,0.2697158953
30,0.9855453351,4.28030303,1.962702882,0.091030018,0.7210260313,0.7865349995,0.005071991322,0.09336158075,0.997040732,0.2697255037
30,0.9855453351,4.328282828,1.962702137,0.09102973783,0.7210261201,0.786535073,0.005071995737,0.0933615804,0.997040732,0.2697352117
30,0.9855453351,4.376262626,1.962701449,0.09102945617,0.7210262042,0.7865351422,0.005071999933,0.09336158008,0.9970407319,0.269745028
30,0.9855453351,4.424242424,1.962700817,0.09102917359,0.7210262833,0.786535207,0.005072003898,0.09336157977,0.9970407319,0.2697549789
30,0.9855453351,4.472222222,1.962700241,0.09102889092,0.7210263572,0.7865352671,0.005072007625,0.09336157949,0.9970407319,0.2697651067
30,0.9855453351,4.52020202,1.962699718,0.09102860935,0.7210264259,0.7865353225,0.005072011123,0.09336157924,0.9970407318,0.2697754404
30,0.9855453351,4.568181818,1.962699247,0.09102833068,0.721026489,0.7865353731,0.005072014404,0.093361579,0.9970407318,0.2697859194
30,0.9855453351,4.616161616,1.962698828,0.09102805749,0.7210265465,0.7865354187,0.005072017448,0.09336157879,0.9970407318,0.2697962891
30,0.9855453351,4.664141414,1.962698459,0.09102779333,0.7210265985,0.7865354594,0.005072020136,0.0933615786,0.9970407317,0.2698061182
30,0.9855453351,4.712121212,1.96269814,0.09102754279,0.7210266448,0.786535495,0.005072022163,0.09336157844,0.9970407317,0.2698151955
30,0.9855453351,4.76010101,1.962697872,0.09102731142,0.721026685,0.7865355256,0.005072023238,0.0933615783,0.9970407317,0.2698247043
30,0.9855453351,4.808080808,1.962697652,0.09102710541,0.7210267166,0.786535551,0.005072024079,0.09336157818,0.9970407317,0.2698384511
30,0.9855453351,4.856060606,1.962697466,0.09102693118,0.7210267341,0.7865355712,0.005072028592,0.09336157809,0.9970407317,0.2698603512
30,0.9855453351,4.904040404,1.962697289,0.09102679476,0.7210267397,0.7865355863,0.005072041056,0.09336157802,0.9970407317,0.2698785919
30,0.9855453351,4.952020202,1.962697407,0.09102670114,0.7210268642,0.786535597,0.005071982453,0.09336157795,0.9970407317,0.2698335769
30,0.9855453351,5,1.962697103,0.09102665366,0.721026726,0.7865356005,0.005072060734,0.09336157796,0.9970407317,0.27
182.64,6,0.25,2.1914032,0.08989542003,0.8095547025,0.186015515,0.005119158185,0.08695221817,0.9821525015,0.269191445
182.64,6,0.297979798,2.191235801,0.08989541241,0.809554307,0.1860155173,0.005119173044,0.08695220571,0.9821524642,0.269187381
182.64,6,0.345959596,2.191114855,0.08989539912,0.8095543338,0.1860155216,0.005119172555,0.08695219666,0.9821524372,0.2691880453
182.64,6,0.3939393939,2.191023232,0.0898953812,0.8095543841,0.1860155274,0.00511917186,0.08695218982,0.9821524168,0.2691888804
182.64,6,0.4419191919,2.190951432,0.08989535931,0.8095544317,0.1860155347,0.0051191719,0.08695218447,0.9821524007,0.2691898844
